Batch_Type,Timestamp,Execution_Time,CPU_Usage,Memory_Usage
Streaming,2025-04-05 17:16:24,2.46,0.00,69.02
Streaming,2025-04-05 17:16:28,2.49,0.00,69.02
Streaming,2025-04-05 17:16:31,1.92,1.00,69.02
Streaming,2025-04-05 17:16:34,1.91,0.00,69.02
Streaming,2025-04-05 17:16:37,2.39,0.00,69.02
Streaming,2025-04-05 17:16:41,2.42,0.00,69.34
Streaming,2025-04-05 17:16:44,1.95,0.00,69.34
Streaming,2025-04-05 17:16:47,2.29,0.00,69.34
Streaming,2025-04-05 17:16:50,1.82,0.00,69.34
Batch,2025-04-05 17:16:50,6.35,32.15,1.07
Streaming,2025-04-05 17:16:53,1.95,0.00,69.34
Streaming,2025-04-05 17:16:56,1.93,1.00,69.34
Streaming,2025-04-05 17:16:59,1.95,0.00,69.34
Streaming,2025-04-05 17:17:02,1.94,0.00,69.34
Streaming,2025-04-05 17:17:05,1.93,0.00,69.34
Streaming,2025-04-05 17:17:08,1.94,0.00,69.34
Streaming_Aggregated,2025-04-05 17:17:08,31.28,0.13,69.23
Streaming,2025-04-05 17:17:11,1.94,0.00,69.34
Streaming,2025-04-05 17:17:14,1.95,0.00,69.34
Streaming,2025-04-05 17:17:17,1.95,1.00,69.34
Streaming,2025-04-05 17:17:20,1.95,0.00,69.34
Batch,2025-04-05 17:17:22,0.38,26.55,0.00
Streaming,2025-04-05 17:17:23,1.91,0.00,69.34
Streaming,2025-04-05 17:17:26,1.93,0.00,69.34
Streaming,2025-04-05 17:17:29,1.97,0.00,69.34
Streaming,2025-04-05 17:17:32,1.95,0.00,69.34
Streaming,2025-04-05 17:17:35,1.95,0.00,69.34
Streaming,2025-04-05 17:17:38,1.96,0.00,69.34
Streaming,2025-04-05 17:17:41,1.95,0.00,69.34
Streaming,2025-04-05 17:17:44,1.96,0.00,69.34
Streaming,2025-04-05 17:17:47,1.93,0.00,69.34
Streaming,2025-04-05 17:17:50,1.95,0.00,69.34
Batch,2025-04-05 17:17:53,0.42,15.95,0.00
Streaming,2025-04-05 17:17:53,1.94,1.00,69.34
Streaming_Aggregated,2025-04-05 17:17:53,29.18,0.13,69.34
Streaming,2025-04-05 17:17:56,1.94,1.00,69.34
Streaming,2025-04-05 17:17:59,1.94,0.00,69.34
Streaming,2025-04-05 17:18:02,1.94,0.00,69.34
Streaming,2025-04-05 17:18:05,1.94,0.00,69.34
